drug_name,smiles
Dinaciclib,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12
ENMD-2076,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(/C=C/c3ccccc3)n2)n[nH]1
gemcitabine,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1
GW2580,COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1
GW 441756,Cn1cc(/C=C2\C(=O)Nc3cccnc32)c2ccccc21
GW9662,O=C(Nc1ccccc1)c1cc([N+](=O)[O-])ccc1Cl
Indole-3-carbinol,OCc1c[nH]c2ccccc12
891494-63-6,Cn1cc(-c2cnn3c(N)c(Br)c([C@@H]4CCCNC4)nc23)cn1
803712-79-0,COc1c/c(=C2\C=c3ccccc3=N2)[nH]/c1=C\c1[nH]c(C)cc1C
Deforolimus,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OP(C)(C)=O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
438190-29-5,O=C1NC(=O)/C(=C/c2cccc(C(F)(F)F)c2)S1
Tideglusib,O=c1sn(-c2cccc3ccccc23)c(=O)n1Cc1ccccc1
vinblastine,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
781661-94-7,COCCn1c2c([n+](Cc3cnccn3)c1C)C(=O)c1ccccc1C2=O
AZD6738,C[C@@H]1COCCN1c1cc(C2([S@](C)(=N)=O)CC2)nc(-c2cncc3[nH]ccc23)n1
AZD4320,CN(CCO)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC([C@@H](O)c4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1S(=O)(=O)C(F)(F)F
Afatinib,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1
alpelisib,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1
AZD8186,C[C@@H](Nc1cc(F)cc(F)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12
AZD1208,N[C@@H]1CCCN(c2c(/C=C3\SC(=O)NC3=O)cccc2-c2ccccc2)C1
doxorubicin,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
etoposide,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
geldanamycin,COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O
L-778123 free base,N#Cc1ccc(Cn2cncc2CN2CCN(c3cccc(Cl)c3)C(=O)C2)cc1
MK-4541,CN1C(=O)C=C[C@]2(C)[C@H]3CC[C@]4(C)[C@@H](NC(=O)OCC(F)(F)F)CC[C@H]4[C@@H]3CC[C@@H]12
MRK003,O=S1(=O)N[C@@]2(CN1CC(F)(F)F)[C@@H]1CC[C@H]2Cc2ccc(/C=C/CN3CCC(C(F)(F)F)CC3)cc2C1
Eloxatin (TN),N[C@@H]1CCCC[C@H]1N
vinorelbine,CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2
AZ12419304,Cc1ccc(C(=O)Nc2ccnc(C(F)(F)F)c2)cc1Nc1ccc2ncn(C)c(=O)c2c1
41575-94-4,O=C([O-])C1(C(=O)[O-])CCC1
Carboplatin Paclitaxel,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
CHEMBL3103192,CC(=O)Nc1cc(Nc2cc(NC3CC3)n3ncc(C#N)c3n2)ccc1N(C)CCN
tamoxifen,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
3'-Epi Gemcitabine (Gemcitabine Impurity),Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1
AZD5582,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H]1c2ccccc2C[C@H]1OCC#CC#CCO[C@@H]1Cc2ccccc2[C@@H]1NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](C)NC)C1CCCCC1)C1CCCCC1
"001, RAD",CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
PF-562271,CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O
CHEMBL3103191,CC(=O)Nc1cc(Nc2cc(NC3CC3)n3ncc(C#N)c3n2)ccc1N(C)CCN(C)C
FOLFIRI regimen,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
Folfox protocol,Nc1nc2c(c(=O)[nH]1)N(C=O)C(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2
20439-47-8,N[C@@H]1CCCC[C@H]1N
HG-14-10-04,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(-c2c[nH]c3ccccc23)n1
SCHEMBL3315478,COc1cc(N2CCN(CCO)CC2)ccc1Nc1ncc(F)c(-c2cnc3ccccn23)n1
AZD2461,COC1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1
14913-33-8,N
racemic-Tasocitinib,CC1CCN(C(=O)CC#N)CC1N(C)c1ncnc2[nH]ccc12
Darinaparsin,C[As](C)SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O
FH535,Cc1cc([N+](=O)[O-])ccc1NS(=O)(=O)c1cc(Cl)ccc1Cl
Daporinad,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1
GSK0660,COC(=O)c1sccc1S(=O)(=O)Nc1ccc(Nc2ccccc2)cc1OC
934593-90-5,COC(=O)c1ccc(O)c(NC(=O)COc2ccc(C34CC5CC(CC(C5)C3)C4)cc2)c1
Lestaurtinib,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O
lfm-a13,C/C(O)=C(\C#N)C(=O)Nc1cc(Br)ccc1Br
1032350-13-2,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1
Nutlin-3,COc1ccc(C2=N[C@@H](c3ccc(Cl)cc3)[C@@H](c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1
Y-39983 dihydrochloride 2/3 H2O,C[C@@H](N)c1ccc(C(=O)Nc2ccnc3[nH]ccc23)cc1
Stibogluconate,O=C(O)[C@@H]1[O][Sb](=[O])([O][Sb]2(=[O])[O][C@H]([C@H](O)CO)[C@H](O)[C@H](C(=O)O)[O]2)[O][C@H]([C@H](O)CO)[C@@H]1O
su6656,CN(C)S(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2
T0901317,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1
TCS 401,O=C(O)C(=O)Nc1sc2c(c1C(=O)O)CCNC2
CHEMBL1254007,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)c(F)c3)c21
112648-68-7,COc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](NCCCCCCN3C(=O)C=CC3=O)CC[C@@H]12
Vatalanib,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1
Cardamonin,COc1cc(O)cc(O)c1C(=O)/C=C/c1ccccc1
AZD-4877,Cc1ccc(C(=O)N(CCCN)C(c2nc3snc(C)c3c(=O)n2Cc2ccccc2)C(C)C)cc1
717906-29-1,CN(c1ccccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O
PRT062607,NC(=O)c1cnc(N[C@@H]2CCCC[C@@H]2N)nc1Nc1cccc(-n2nccn2)c1
SCHEMBL20501483,COc1ncc(-c2cccc(N(CC3CCC(c4ccc(OC)c(C)c4)CC3)C(=O)C3CCC(C(=O)NCCN(C)C)CC3)c2)s1
4-Hydroxytamoxifen,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
946128-88-7,CNS(=O)(=O)Nc1nccc(Cc2c(C)c3ccc(Oc4ncccn4)cc3oc2=O)c1F
Tivantinib,O=C1NC(=O)[C@@H](c2cn3c4c(cccc24)CCC3)[C@@H]1c1c[nH]c2ccccc12
Temsirolimus,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
Pevonedistat,NS(=O)(=O)OC[C@@H]1C[C@@H](n2ccc3c(N[C@H]4CCc5ccccc54)ncnc32)C[C@@H]1O
TNF-Alpha,CC(C)C[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](CO)C(=O)O
33419-42-0,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
NSC169534,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1
5-FU,O=c1[nH]cc(F)c(=O)[nH]1
ABT-888,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
AZD1775,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
BEZ-235,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
CARBOPLATIN,O=C([O-])C1(C(=O)[O-])CCC1
L778123,N#Cc1ccc(Cn2cncc2CN2CCN(c3cccc(Cl)c3)C(=O)C2)cc1
MITOMYCINE,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12
MK-4827,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12
MK-8669,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OP(C)(C)=O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
MRK-003,O=S1(=O)N[C@@]2(CN1CC(F)(F)F)[C@@H]1CC[C@H]2Cc2ccc(/C=C/CN3CCC(C(F)(F)F)CC3)cc2C1
OXALIPLATIN,[NH-][C@@H]1CCCC[C@H]1[NH-]
PD325901,O=C(NOC[C@H](O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F
SN-38,CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
ZOLINZA,O=C(CCCCCCC(=O)Nc1ccccc1)NO
MECHLORETHAMINE HYDROCHLORIDE,CN(CCCl)CCCl
DAUNORUBICIN HYDROCHLORIDE,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
GEMZAR (LILLY),Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1
NSC141540,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE,CCCCCOC(=O)Nc1nc(=O)n(C2OC(C)C(O)C2O)cc1F
5-FLUORO-2\'-DEOXYURIDINE,O=C1NC(=O)N(C2CC(O)C(CO)O2)CC1F
AZACYTIDINE,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
PLICAMYCIN,CO[C@H](C(=O)[C@@H](O)[C@@H](C)O)[C@@H]1Cc2cc3cc(O[C@H]4C[C@@H](O[C@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@H](O)[C@@H](C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]3C[C@](C)(O)[C@H](O)[C@@H](C)O3)[C@@H](O)[C@@H](C)O2)[C@H](O)[C@@H](C)O1
MERCAPTOPURINE,S=c1nc[nH]c2nc[nH]c12
NSC 85998,CN(N=O)C(=O)NC1C(O)OC(CO)C(O)C1O
TRETINOIN,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
34793-34-5,COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@H](O)[C@H]1O
AMINOLEVULINIC ACID HYDROCHLORIDE,NCC(=O)CCC(=O)O
URACIL MUSTARD,O=c1[nH]cc(N(CCCl)CCCl)c(=O)[nH]1
THIOGUANINE,Nc1nc(=S)c2[nH]cnc2[nH]1
CISPLATINO,N
ARSENIC TRIOXIDE,[As+3]
MK-8776,Cn1cc(-c2cnn3c(N)c(Br)c([C@@H]4CCCNC4)nc23)cn1
